Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Creme de menthe,371.0,42.0,0.0,0.3,0.0,0.0,0.01,0.005,42.0
SlimFast shake,58.0,0.85,0.004,2.9,0.4,6.6,0.45,0.072,0.6
Fuze juice,38.0,9.2,0.0,0.06,0.2,0.68,0.01,0.01,9.0
Gin,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
Rum,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Vodka,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Whisky,250.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Wine,83.0,2.7,0.0,0.0,0.0,0.07,0.0,0.005,0.79
Smoothie,37.0,8.2,0.0,0.0,0.0,1.2,0.0,0.029,7.4
Red Wine,85.0,2.6,0.0,0.0,0.0,0.07,0.0,0.004,0.62
Pinot noir,82.0,2.3,,0.0,,0.07,,,
Syrah wine,83.0,2.6,,0.0,,0.07,,,
Zinfandel wine,88.0,2.9,,0.0,,0.07,,,
Petite Sirah wine,85.0,2.7,,0.0,,0.07,,,
White wine,82.0,2.6,0.0,0.0,0.0,0.07,0.0,0.005,0.96
Sangiovese wine,86.0,2.6,,0.0,,0.07,,,
Carignan wine,74.0,2.4,,0.0,,0.07,,,
Pinot Gris,83.0,2.1,,0.0,,0.07,,,
Muller Thurgau,76.0,3.5,,0.0,,0.07,,,
Carbonated water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0
Gewürztraminer,81.0,11.0,,0.0,,0.07,,,
Gewurztraminer,108.0,2.6,,0.0,,0.07,,,
Semillon,82.0,3.1,,0.0,,0.07,,,
Riesling,80.0,3.7,,0.0,,0.07,,,
Sauvignon blanc,81.0,2.1,,0.0,,0.07,,,
Ginger ale,34.0,8.8,0.0,0.0,0.0,0.0,0.0,0.007,8.9
Iced tea,36.0,9.1,,0.0,0.0,0.0,,0.021,9.1
Muscat wine,82.0,5.2,,0.0,,0.07,,,
Grape soda,43.0,11.0,0.0,0.0,0.0,0.0,0.0,0.015,
Sprite,40.0,10.0,0.0,0.02,0.0,0.05,0.0,0.009,9.0
French wine,86.0,3.7,,0.0,,0.07,,,
Red Bull Energy Drink,43.0,10.0,0.0,0.0,0.0,0.46,0.0,0.039,10.0
Tonic water,34.0,8.8,0.0,0.0,0.0,0.0,0.0,0.012,8.8
Chardonnay,84.0,2.2,,0.0,0.0,0.07,,0.005,0.96
Chocolate syrup,279.0,65.0,0.0,1.1,2.6,2.1,0.52,0.072,50.0
Oolong tea,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.003,0.0
Green tea,30.0,7.2,0.0,0.18,0.0,0.0,0.0,0.002,6.9
Minute maid lemonade,46.0,12.0,0.0,0.0,0.0,0.0,0.0,0.006,12.0
Lemon tea,2.0,0.41,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Coffee,1.0,0.0,0.0,0.02,0.0,0.12,0.0,0.002,0.0
